Logging to logs\PPO_2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 651      |
|    ep_rew_mean     | -12.1    |
| time/              |          |
|    fps             | 4985     |
|    iterations      | 1        |
|    time_elapsed    | 13       |
|    total_timesteps | 65536    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 741          |
|    ep_rew_mean          | -11.9        |
| time/                   |              |
|    fps                  | 3411         |
|    iterations           | 2            |
|    time_elapsed         | 38           |
|    total_timesteps      | 131072       |
| train/                  |              |
|    approx_kl            | 0.0028306488 |
|    clip_fraction        | 0.0313       |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.948       |
|    explained_variance   | -0.00158     |
|    learning_rate        | 0.00025      |
|    loss                 | 0.306        |
|    n_updates            | 4            |
|    policy_gradient_loss | -0.00328     |
|    value_loss           | 0.771        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 723         |
|    ep_rew_mean          | -11.8       |
| time/                   |             |
|    fps                  | 2618        |
|    iterations           | 3           |
|    time_elapsed         | 75          |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.004481134 |
|    clip_fraction        | 0.0802      |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.945      |
|    explained_variance   | -0.028      |
|    learning_rate        | 0.00025     |
|    loss                 | 0.333       |
|    n_updates            | 8           |
|    policy_gradient_loss | -0.00494    |
|    value_loss           | 0.688       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 769         |
|    ep_rew_mean          | -11.7       |
| time/                   |             |
|    fps                  | 2382        |
|    iterations           | 4           |
|    time_elapsed         | 110         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.005498172 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.939      |
|    explained_variance   | -0.0288     |
|    learning_rate        | 0.00025     |
|    loss                 | 0.227       |
|    n_updates            | 12          |
|    policy_gradient_loss | -0.00502    |
|    value_loss           | 0.661       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 767          |
|    ep_rew_mean          | -11.8        |
| time/                   |              |
|    fps                  | 2460         |
|    iterations           | 5            |
|    time_elapsed         | 133          |
|    total_timesteps      | 327680       |
| train/                  |              |
|    approx_kl            | 0.0074327304 |
|    clip_fraction        | 0.157        |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.935       |
|    explained_variance   | -0.104       |
|    learning_rate        | 0.000249     |
|    loss                 | 0.22         |
|    n_updates            | 16           |
|    policy_gradient_loss | -0.00426     |
|    value_loss           | 0.628        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 823          |
|    ep_rew_mean          | -11.6        |
| time/                   |              |
|    fps                  | 2506         |
|    iterations           | 6            |
|    time_elapsed         | 156          |
|    total_timesteps      | 393216       |
| train/                  |              |
|    approx_kl            | 0.0072415574 |
|    clip_fraction        | 0.166        |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.925       |
|    explained_variance   | -0.0432      |
|    learning_rate        | 0.000249     |
|    loss                 | 0.224        |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00257     |
|    value_loss           | 0.761        |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 831        |
|    ep_rew_mean          | -11.4      |
| time/                   |            |
|    fps                  | 2482       |
|    iterations           | 7          |
|    time_elapsed         | 184        |
|    total_timesteps      | 458752     |
| train/                  |            |
|    approx_kl            | 0.00905729 |
|    clip_fraction        | 0.207      |
|    clip_range           | 0.15       |
|    entropy_loss         | -0.915     |
|    explained_variance   | -0.0317    |
|    learning_rate        | 0.000249   |
|    loss                 | 0.159      |
|    n_updates            | 24         |
|    policy_gradient_loss | -0.00328   |
|    value_loss           | 0.625      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 888         |
|    ep_rew_mean          | -11         |
| time/                   |             |
|    fps                  | 2333        |
|    iterations           | 8           |
|    time_elapsed         | 224         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.009030291 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.914      |
|    explained_variance   | -0.0643     |
|    learning_rate        | 0.000249    |
|    loss                 | 0.347       |
|    n_updates            | 28          |
|    policy_gradient_loss | -0.00248    |
|    value_loss           | 0.652       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 807         |
|    ep_rew_mean          | -11.1       |
| time/                   |             |
|    fps                  | 2191        |
|    iterations           | 9           |
|    time_elapsed         | 269         |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.009816635 |
|    clip_fraction        | 0.204       |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.895      |
|    explained_variance   | -0.0967     |
|    learning_rate        | 0.000249    |
|    loss                 | 0.22        |
|    n_updates            | 32          |
|    policy_gradient_loss | -0.00117    |
|    value_loss           | 0.554       |
-----------------------------------------
